time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
240,0,0,0,0,0,0,2,0
524,0,0,0,0,0,0,1,1
1822,0,0,0,0,0,0,2,1
3120,0,0,0,0,0,0,3,1
3385,0,0,0,0,0,1,3,1
3763,0,0,0,0,0,1,2,2
4003,0,0,0,0,0,1,3,2
4243,0,0,0,0,0,1,2,3
4538,0,0,0,0,0,2,2,3
5487,0,0,0,0,0,3,2,3
6886,0,0,0,0,0,4,2,3
7126,0,0,0,0,0,5,3,3
7366,0,0,0,0,0,5,2,4
8627,0,0,0,0,0,6,2,4
9137,0,0,0,0,0,6,3,4
10430,0,0,0,0,0,6,4,4
10670,0,0,0,0,0,7,4,4
10910,0,0,0,0,0,7,3,5
11150,0,0,0,0,0,7,4,5
11390,0,0,0,0,0,7,3,6
12113,0,0,0,0,0,8,3,6
12353,0,0,0,0,0,8,4,6
12723,0,0,0,0,0,8,3,7
14961,0,0,0,0,0,9,3,7
15201,0,0,0,0,0,9,2,8
17047,0,0,0,0,0,9,3,8
17287,0,0,0,0,0,10,4,8
17800,0,0,0,0,0,11,4,8
20319,0,0,0,0,0,12,4,8
20559,0,0,0,0,0,12,3,9
20799,0,0,0,0,0,12,4,9
21039,0,0,0,0,0,13,4,9
21279,0,0,0,0,0,13,3,10
21519,0,0,0,0,0,15,3,10
21759,0,0,0,0,0,16,3,10
22144,0,0,0,0,0,16,2,11
22384,0,0,0,0,0,17,2,11
22851,0,0,0,0,0,17,3,11
23091,0,0,0,0,0,18,3,11
23331,0,0,0,0,0,18,3,12
23571,0,0,0,0,0,19,3,12
24026,0,0,0,0,0,18,3,13
24266,0,0,0,0,0,19,3,13
24506,0,0,0,0,0,21,3,13
26066,0,0,0,0,0,21,4,13
26797,0,0,0,0,0,21,5,13
27337,0,0,0,0,0,21,4,14
27577,0,0,0,0,0,21,3,15
27817,0,0,0,0,0,21,4,15
28057,0,0,0,0,0,21,5,15
28359,0,0,0,0,0,21,4,15
30741,0,0,0,0,0,21,3,16
32316,0,0,0,0,0,22,3,16
34086,0,0,0,0,0,23,3,16
34326,0,0,0,0,0,24,3,16
34566,0,0,0,0,0,24,4,16
35150,0,0,0,0,0,24,3,17
35716,0,0,0,0,0,24,4,17
36834,0,0,0,0,0,25,4,17
37828,0,0,0,0,0,25,3,18
39314,0,0,0,0,0,26,3,18
39554,0,0,0,0,0,26,2,19
39808,0,0,0,0,0,26,3,19
41402,0,0,0,0,0,26,4,19
42377,0,0,0,0,0,26,3,20
42617,0,0,0,0,0,27,3,20
42857,0,0,0,0,0,28,3,20
43524,0,0,0,0,0,28,4,20
45451,0,0,0,0,0,29,4,20
46248,0,0,0,0,0,29,3,21
47135,0,0,0,0,0,30,3,21
