job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,duration
a11b4fc9-8f06-7093-2b93-bcb89acf0e7e,1999,49066,resnet50,13212,128,1,13423
d6fcbe84-6cbd-9525-f330-c7449cd5d050,1999,32749,vgg16,17604,128,1,12477
c7b2845e-7b8e-f100-36b9-4a4fecd5c075,2001,55199,gpt2,12810,256,1,13472
71137ee0-d4e7-3c84-c236-06da176866ac,2002,31713,gpt2,6103,256,1,7740
c1d31857-23aa-1eee-0f63-917756e940d0,2003,19896,inception3,13058,128,1,7765
96eaab86-9c46-c60b-0f20-044fe4c2702c,2003,38256,vgg16,11289,64,1,7571
ec4b273b-6009-bfce-cdef-63f3beb2ebe0,2004,32069,inception3,18347,128,1,12516
f2e329e1-35de-bfe2-df00-24257c536e6a,2004,21354,inception3,13367,128,1,8334
4bb33180-2347-21a4-7b89-9db1674a1e0d,2005,24760,resnet50,14941,256,1,13432
e16affea-109d-31cc-2513-486152b2e34a,2005,49421,bert,12373,64,1,8195
a24149d2-240c-039a-8054-033146dd7903,2008,19051,deepspeech2,9548,64,1,11908
c5114965-3e22-0af5-2fb2-c31ab54c6d26,2008,87413,gpt2,19185,128,1,11960
f7faf63f-5a60-c38a-439b-ada294f6ecd7,2008,56276,resnet50,12257,64,1,8224
ea433581-e14f-4c6c-5d4b-f5148ed933d9,2009,29325,bert,9966,128,1,8203
0018d327-4e25-49b7-3f44-71c78e8ce97c,2009,22951,deepspeech2,6946,32,1,7592
f68f22d6-bc91-7e70-fe6b-c3335ae66e80,2009,15686,vgg16,13122,256,1,11941
18ef8d67-3134-a068-bb0d-23f9470d6d80,2010,51220,gpt2,19025,256,1,12501
0ff65d5c-3307-04f8-eb0e-a5a7be477424,2011,37533,inception3,6426,64,1,7786
fe7eb3ce-62db-ebaa-3a50-500f59aa3ea4,2014,73206,bert,18474,64,1,12139
c19b97a5-b4ce-288c-7b50-6c15a4f3fb4a,2021,54277,gpt2,15550,256,1,13247
a4337081-6f1c-2490-e09e-1447c0cbd7f1,2022,36386,inception3,8508,64,1,7548
18ddb9fd-5c1a-b58b-310f-85fb09846e09,2030,51712,resnet50,11812,64,1,7557
e6c92435-03cd-ec7e-7f28-abc1ecb2a8ce,2033,44622,bert,8741,128,1,12482
4e78ff92-6bcd-c784-a37f-02ea5c6c744d,2037,39585,vgg16,7887,64,1,7834
69390f06-ec8c-40ab-16b6-7e6140b4362a,2079,122899,vgg16,9383,64,8,6358
b586e247-bd6e-2a50-7ca2-168329707595,3895,1013497,inception3,253778,64,1,210241
51bc3dc1-8b65-7926-6af3-61acdfff0f9d,5997,2919175,vgg16,117998,64,8,151019
9208d532-f991-88c8-dd4b-d2e096e0af04,8745,1757809,inception3,122919,64,8,131253
5ccce823-b15a-019a-c56e-231ab6b54f0d,10576,1656238,bert,203935,64,8,149748
5d49b291-9281-a983-64f8-af859a1d353d,13239,52325,vgg16,16108,64,8,2707
8e3af02f-8d9e-ba40-e52f-fdd804d8a962,18742,1104648,deepspeech2,119354,64,8,149151
e906ac4a-d180-3845-6802-9e40ea35e3bd,19567,1211,resnet50,20404,256,1,657
aa731dae-20b0-4741-7459-c1d045ad299f,19599,2338,bert,20045,128,1,654
0d2ae4e1-d0c3-e221-26ac-f92664460667,20542,7110,bert,21382,64,1,1179
2b0478f8-dba8-ca12-9611-47a1b50c0a6b,20545,8909,gpt2,22245,128,1,1219
3f8204be-0d01-8774-5e06-f8c388c562f6,21951,1450865,deepspeech2,240804,32,8,147804
e71e3bff-3243-37bc-ea0f-c0b54f7d3b10,21992,1604456,resnet50,159464,128,8,97039
4abe44d1-a203-cc10-3be3-98d842a85922,22071,728442,vgg16,135394,256,8,91096
b921967c-17a8-c270-b64e-3b443299c5a2,22709,30315,bert,25623,64,8,2741
53884625-0f1a-689f-863c-37eebed121aa,23025,4306,resnet50,24790,128,1,1178
039538d1-b73f-a11c-ba58-8c6ccd97dbbb,23030,4580,resnet50,23997,128,1,1253
099c9ecb-dd2c-e655-a21b-6afd3571c406,24254,877,vgg16,25074,256,1,668
2062508e-4b5a-3c21-bea6-b3ffd5f43ea5,24304,5313,gpt2,25090,128,1,727
750a9c79-21e6-1781-9f1d-9e6dff2985c5,24966,85961,resnet50,39042,64,1,12562
17ecd119-5198-87c5-1e96-3bfcb359465e,24967,13941,resnet50,34803,256,1,7563
b2e4b144-6ec1-e445-82d6-b0271f7def7c,24967,44743,bert,37973,128,1,12516
bbe953b4-2982-25c2-6d20-a3b6721b2ab8,24967,32074,vgg16,42180,128,1,12220
32a3bbdd-820c-9fbf-44a6-8a110998210b,24967,119842,vgg16,49523,64,1,23717
358ad68e-b84f-e48d-c1d3-ce224ceb4858,24968,61813,vgg16,48497,128,1,23550
157dc5d7-aee1-c31c-a90d-55f7491aa0aa,24969,44840,resnet50,44312,256,1,24325
9cb7ac24-70a8-a066-2eaa-6a7bd8fe3413,24969,44600,resnet50,44608,256,1,24195
96c77e35-410c-53c6-c4f2-9f9680719434,24969,44515,resnet50,31798,128,1,12178
122b4cf3-f54b-b47d-2ac6-2e1ae87c6ca9,24969,32229,gpt2,29082,256,1,7866
2a72b017-b508-317f-a184-230d8d7c6efd,24970,36492,inception3,34339,64,1,7570
1bf5241c-c91a-954c-fa33-51d4a7c526e7,24970,73483,bert,39849,64,1,12185
1c050631-6f63-4ef9-6633-cba57837891a,24970,10237,vgg16,36108,256,1,7793
cd20063c-21e0-20e7-fc2c-17ff0a943503,24970,116447,inception3,46052,64,1,24156
e2ae7041-bebf-0ad9-2e4b-f7475bcbaad1,24972,80292,bert,41077,64,1,13314
f8931f74-a3ee-1ca0-2742-d054a55d2641,24973,34398,inception3,37782,128,1,13425
53740400-3d00-95af-a215-07ffc6cebe71,24973,40710,inception3,34872,64,1,8445
bfe0ebc8-b168-9df7-04fe-4baa3ab153b6,24973,176138,resnet50,58894,64,1,25740
1048cfa0-f259-66d6-cf89-4c26c51c2b3e,24974,20021,deepspeech2,35615,64,1,12514
7b891d96-428f-5ddd-e32a-8c9d4f8c0b19,24974,98428,gpt2,35208,128,1,13467
e8517763-a6d0-07b4-0e6e-a62b4792e940,24974,92336,bert,42856,128,1,25829
3347f392-f90e-5810-6ed2-a32ed612cb63,24975,19447,deepspeech2,39776,64,1,12155
517ba1f3-14e5-5e74-7bdc-160c6c8d33e7,24977,66138,inception3,52180,128,1,25812
d9a8a70b-ef42-4c37-8827-f1e8ecf86a46,24978,20034,deepspeech2,32032,64,1,12522
f67deff5-81bf-5362-9ea7-a6655f8c35eb,24978,25228,deepspeech2,35378,32,1,8345
88796f10-e7b0-6335-c707-f0c99c2bc85f,24978,20060,inception3,34787,128,1,7829
356bb0d8-546a-fa86-f8ad-b7e847aff8e1,24978,119291,vgg16,38583,64,1,23608
a815235d-f3c4-b23c-e0fd-a7e32ae8ff1b,24978,85985,resnet50,36772,128,1,23523
6f471d59-4587-56dc-e4b0-7a2bf3a6b11c,24978,40985,inception3,35563,64,1,8502
ccaef9f7-6b0d-f8c4-9791-7ee40911d419,24981,33847,vgg16,41086,256,1,25766
0cb6fe24-2c53-2a29-e0fd-0b54ef4405e7,24981,14488,resnet50,29086,256,1,7860
978449ef-742e-570c-706f-fe3c12ddaf30,24981,73127,deepspeech2,52106,32,1,24189
78b541ed-c824-bc15-4d95-96ddc4e26c8b,24983,31188,gpt2,32553,256,1,7612
4d4e6236-1b2d-9f36-02d5-30c3031d6dbd,24987,98157,gpt2,36783,128,1,13430
8816dcc6-83ec-6bd5-5b7e-ba2b218b3288,24988,55393,gpt2,29577,128,1,7579
8a3220c2-0a66-e846-dc98-adc2966eaf3d,24989,40604,inception3,36082,64,1,8423
ec4ebbd2-8133-3ad6-acb0-7785bac94e92,25824,211573,inception3,68214,64,1,43889
94bbc2d1-36b6-d95f-63d2-3e7eed975e3c,25883,80002,resnet50,67985,256,1,43400
6d93439f-24ea-cc02-86b3-96e4fcde579b,25967,175365,gpt2,83509,256,1,42800
ab8688b1-9dde-2b35-9a57-39f9dcb2641f,26009,296424,resnet50,56098,64,1,43318
ab8c8c18-3380-02ec-d56f-075d273a3b52,26656,17219,deepspeech2,29390,64,8,2325
7df8f9f5-b4d3-319a-539e-8bdf163116f3,27167,1691688,gpt2,270291,128,1,231458
