job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,duration
4bb42dcf-d655-0689-6a5f-1b7f5562a1cb,2816,3344,vgg16,4324,256,1,2546
e1556165-9535-4a4d-64ea-20fca52b6098,2817,7612,deepspeech2,5525,32,1,2518
aa409475-91e9-95e5-5f61-0405f7f39cf5,5350,78381,deepspeech2,41241,32,1,25927
b718bbe7-6be0-36df-3c0f-231c12c50f7f,5369,177547,resnet50,22755,64,1,25946
fbd776a7-78c8-41f0-49f4-bed99a5dfef4,5388,131595,vgg16,27270,64,1,26043
84757257-b378-ad7a-e59f-939202800850,5411,155826,bert,19310,64,1,25839
32d7e6c1-e178-3f77-cf92-8bc87ff59234,5457,125009,inception3,36203,64,1,25932
21dc0fb0-33c5-eb3c-8aa4-34805ad11fa0,5486,177137,resnet50,39506,64,1,25886
0bf8124e-3379-a03a-a3be-ad0c5a68a7c4,5486,93176,bert,21403,128,1,26064
f7d9ff4d-3008-372c-3bd4-a9dc621399da,5521,67811,vgg16,21664,128,1,25835
b6dd4de3-47a6-55f8-b961-28c2e0812dfd,5558,78145,deepspeech2,30011,32,1,25849
fe037c8a-ff09-73f0-e089-da179fe6a2f1,5681,94451,resnet50,41036,128,1,25839
b0bf5454-deac-f1f2-e5f4-baa9e701f1ad,5736,33982,vgg16,31921,256,1,25869
65dee1fc-5ad9-e39c-5751-bf72427cd2bb,5860,155977,bert,32269,64,1,25864
08ca3799-e8cb-fbfc-dd42-693de1075042,5860,92847,bert,28693,128,1,25972
4acb0f7f-52ae-db52-528f-2d1f6718a1ad,5991,66220,inception3,27527,128,1,25844
c2576b32-813f-0995-8d1c-cfef812db6a6,6210,47789,resnet50,38916,256,1,25925
00f1e786-fb85-8805-3fce-0317cfdbb79b,6238,47852,resnet50,26275,256,1,25959
f0dfd1ca-9a1c-0f02-d6a2-65905802391f,6284,106141,gpt2,35491,256,1,25905
3ee551a4-8b5b-6381-2bbf-daa92cf39934,6285,66368,inception3,30701,128,1,25902
da0e16c0-f5fb-9c24-3b07-21e8f14c7265,6389,155952,bert,22174,64,1,25860
