time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
2266647,0,0,0,0,0,0,1,0
2266851,0,0,0,0,0,0,1,0
2267043,0,0,0,0,0,0,1,0
2267268,0,0,0,0,0,0,0,1
2371685,0,0,0,0,0,0,1,1
2371889,0,0,0,0,0,0,1,1
2372081,0,0,0,0,0,0,1,1
2372469,0,0,0,0,0,0,0,2
2709847,0,0,0,0,0,0,1,2
2711472,0,0,0,0,0,0,1,2
2712290,0,0,0,0,0,0,1,2
2714674,0,0,0,0,0,0,1,2
2778111,0,0,0,0,0,0,0,3
2843551,0,0,0,0,0,0,1,3
2845176,0,0,0,0,0,0,1,3
2845994,0,0,0,0,0,0,1,3
2848378,0,0,0,0,0,0,1,3
2848498,0,0,0,0,0,0,0,4
2860271,0,0,0,0,0,0,1,4
2861084,0,0,0,0,0,0,1,4
2861697,0,0,0,0,0,0,1,4
2863144,0,0,0,0,0,0,1,4
2866732,0,0,0,0,0,0,2,4
2867428,0,0,0,0,0,0,1,5
2868711,0,0,0,0,0,0,1,5
2870901,0,0,0,0,0,0,2,5
2870999,0,0,0,0,0,0,3,5
2871137,0,0,0,0,0,0,4,5
2871435,0,0,0,0,0,0,5,5
2871515,0,0,0,0,0,0,4,6
2871575,0,0,0,0,0,0,5,6
2871635,0,0,0,0,0,0,4,7
2871737,0,0,0,0,0,0,3,8
2871797,0,0,0,0,0,0,2,9
2872163,0,0,0,0,0,0,1,10
2872302,0,0,0,0,0,0,0,11
2880125,0,0,0,0,0,0,1,11
2880221,0,0,0,0,0,0,2,11
2880359,0,0,0,0,0,0,3,11
2880558,0,0,0,0,0,0,4,11
2880841,0,0,0,0,0,0,3,12
2880901,0,0,0,0,0,0,2,13
2880971,0,0,0,0,0,0,1,14
2881169,0,0,0,0,0,0,0,15
2929661,0,0,0,0,0,0,1,15
2929760,0,0,0,0,0,0,2,15
2929829,0,0,0,0,0,0,3,15
2929889,0,0,0,0,0,0,4,15
2929949,0,0,0,0,0,0,5,15
2930009,0,0,0,0,0,0,6,15
2930606,0,0,0,0,0,0,7,15
2930666,0,0,0,0,0,0,6,16
2930726,0,0,0,0,0,0,6,17
2930890,0,0,0,0,0,0,7,17
2930950,0,0,0,0,0,0,7,18
2931066,0,0,0,0,0,0,8,18
2931252,0,0,0,0,0,0,7,19
2931312,0,0,0,0,0,0,8,19
2931435,0,0,0,0,0,0,7,20
2931495,0,0,0,0,0,0,6,21
2931555,0,0,0,0,0,0,5,22
2931658,0,0,0,0,0,0,4,23
2931898,0,0,0,0,0,0,3,24
2932078,0,0,0,0,0,0,2,25
2932237,0,0,0,0,0,0,1,26
2932356,0,0,0,0,0,0,0,27
2932479,0,0,0,0,0,0,1,27
2932675,0,0,0,0,0,0,2,27
2932831,0,0,0,0,0,0,3,27
2932891,0,0,0,0,0,0,4,27
2932959,0,0,0,0,0,0,5,27
2933019,0,0,0,0,0,0,6,27
2933181,0,0,0,0,0,0,5,28
2933543,0,0,0,0,0,0,4,29
2933668,0,0,0,0,0,0,3,30
2933910,0,0,0,0,0,0,2,31
2934123,0,0,0,0,0,0,1,32
2934252,0,0,0,0,0,0,0,33
2943672,0,0,0,0,0,0,1,33
2945598,0,0,0,0,0,0,0,34
2947977,0,0,0,0,0,0,1,34
2949207,0,0,0,0,0,0,2,34
2949963,0,0,0,0,0,0,1,35
2951652,0,0,0,0,0,0,0,36
2952452,0,0,0,0,0,0,1,36
2952540,0,0,0,0,0,0,2,36
2952600,0,0,0,0,0,0,3,36
2952667,0,0,0,0,0,0,4,36
2952727,0,0,0,0,0,0,5,36
2952787,0,0,0,0,0,0,6,36
2953004,0,0,0,0,0,0,7,36
2953182,0,0,0,0,0,0,6,37
2953401,0,0,0,0,0,0,5,38
2953461,0,0,0,0,0,0,4,39
