job_id,pending_time,total_executed_time,progress,submit_time,end_time,preempt,resume,num_gpu,expect_time,expect_time_list,expect_value_list,miss_ddl,gt_miss_ddl,gt_expect_time,best_effort,duration,queue_priority
53,15549,85589,85589.0,3746451,3847589.0,178,179,8,110349,110538,10,0.0,0,110538,0,85231,0
54,181,4469,4469.0,3747419,3752069.5,18,19,1,4378,4378,10,1,1,4378,0,4460,-1
55,172,13979,13979.0,3747668,3761819.5,58,59,1,12895,12895,10,1,1,12895,0,13950,-1
56,211,7428,7428.0,3748109,3755748.5,30,31,4,7215,7215,10,1,1,7215,0,7382,-1
57,222,5656,5656.0,3748578,3754456.0,23,24,1,2911,2911,10,1,1,2911,0,5644,-1
58,221,709026,709026.0,3749539,4458786.5,2954,2955,1,721240,721240,10,0.0,0,721240,0,707549,1
59,9573,33311,33311.0,3749547,3792431.0,69,70,1,46533,46677,10,0.0,0,46677,0,33276,0
60,236,709026,709026.0,3754804,4464066.5,2954,2955,1,712856,712856,10,0.0,0,712856,0,707549,1
61,212,13979,13979.0,3755548,3769739.5,58,59,1,15588,15588,10,0.0,0,15588,0,13950,1
62,117,32,32.0,3755643,3755792.5,0,1,1,36,36,10,1,1,36,0,32,-1
63,21218,622967,622967.0,3755662,4399847.0,2595,2596,1,317781,317781,10,1,1,317781,0,621669,-1
64,3356,13965,13965.0,3755764,3773085.0,29,30,1,19196,19244,10,0.0,0,19244,0,13950,0
65,93932,622967,622967.0,3756388,4473287.0,2595,2596,1,453413,453413,10,1,1,453413,0,621669,-1
66,13582,33345,33345.0,3757778,3804705.5,138,139,1,23765,23765,10,1,1,23765,0,33276,-1
67,177106,708287,708287.0,3758174,4643567.0,1475,1476,1,957346,957509,10,0.0,0,957509,0,707549,0
68,66,4469,4469.0,3758334,3762869.5,18,19,1,2531,2531,10,1,1,2531,0,4460,-1
69,114,23045,23045.0,3758766,3781925.5,96,97,1,24350,24350,10,0.0,0,24350,0,22997,1
70,55,4469,4469.0,3760025,3764549.5,18,19,1,4588,4588,10,0.0,0,4588,0,4460,1
71,1011,13965,13965.0,3762189,3777165.0,29,30,1,16851,16934,10,0.0,0,16934,0,13950,0
72,42,4469,4469.0,3762198,3766709.5,18,19,1,3757,3757,10,1,1,3757,0,4460,-1
73,4,33345,33345.0,3762236,3795585.5,138,139,1,33642,33642,10,0.0,0,33642,0,33276,1
74,138932,622317,622317.0,3763468,4524717.5,1296,1297,1,824612,824662,10,0.0,0,824662,0,621669,0
75,6491,33311,33311.0,3764629,3804431.0,69,70,1,43451,43515,10,0.0,0,43515,0,33276,0
76,119641,28967,28967.0,3765479,3914087.5,120,121,1,28294,28294,10,1,1,28294,0,28907,-1
77,52,1598,1598.0,3765788,3767438.5,6,7,4,1813,1813,10,0.0,0,1813,0,1588,1
78,26765,192078,192078.0,3766675,3985518.5,400,401,4,239165,239399,10,0.0,0,239399,0,191477,0
79,96837,192681,192681.0,3766683,4056201.5,802,803,4,191695,191695,10,1,1,191695,0,191477,-1
80,18,1257,1257.0,3766782,3768057.5,2,3,4,1698,1832,10,0.0,0,1832,0,1253,0
81,18009,1262,1262.0,3766791,3786062.0,5,6,4,708,708,10,1,1,708,0,1253,-1
82,18723,1262,1262.0,3766797,3786782.0,5,6,4,1102,1102,10,1,1,1102,0,1253,-1
83,17987,3385,3385.0,3766813,3788185.5,14,15,4,2100,2100,10,1,1,2100,0,3363,-1
84,223,7428,7428.0,3766817,3774468.5,30,31,4,7765,7765,10,0.0,0,7765,0,7382,1
85,26917,169448,169448.0,3767003,3963368.5,706,707,4,90976,90976,10,1,1,90976,0,168388,-1
86,36,1598,1598.0,3767004,3768638.5,6,7,4,1762,1762,10,0.0,0,1762,0,1588,1
87,18940,1598,1598.0,3767060,3787598.5,6,7,4,1257,1257,10,1,1,1257,0,1588,-1
88,682,7428,7428.0,3767078,3775188.5,30,31,4,8643,8643,10,0.0,0,8643,0,7382,1
89,914,11153,11153.0,3767086,3779153.5,46,47,4,12533,12533,10,0.0,0,12533,0,11083,1
90,15073,11153,11153.0,3767087,3793313.5,46,47,4,7418,7418,10,1,1,7418,0,11083,-1
91,180,3385,3385.0,3767100,3770665.5,14,15,4,3580,3580,10,0.0,0,3580,0,3363,1
92,17939,5975,5975.0,3767101,3791015.5,24,25,4,4596,4596,10,1,1,4596,0,5938,-1
93,164,3385,3385.0,3767116,3770665.5,14,15,4,3792,3792,10,0.0,0,3792,0,3363,1
94,27260,192681,192681.0,3767140,3987081.5,802,803,4,116931,116931,10,1,1,116931,0,191477,-1
95,16452,5975,5975.0,3767148,3789575.5,24,25,4,3299,3299,10,1,1,3299,0,5938,-1
96,40683,168916,168916.0,3767157,3976756.0,351,352,4,227403,227476,10,0.0,0,227476,0,168388,0
97,101,3385,3385.0,3767179,3770665.5,14,15,4,4762,4762,10,0.0,0,4762,0,3363,1
