time,gpu0,gpu1,gpu2,gpu3,gpu4,gpu5,gpu6,gpu7,gpu8,gpu9,gpu10,gpu11,gpu12,gpu13,gpu14,gpu15
3715485
3717550
3717616
3718739
3721133
3721209
3721269
3721329
3721389
3721449
3721509
3721569
3721629
3722007
3722368
3722428
3723222
3724269
3724463
3724643
3724703
3725079
3725139
3725434
3725494
3725554
3725718
3725778
3725838
3726141
3726201
3726261
3726321
3726381
3726441
3726517
3726831
3727473
3727533
3727857
3728413
3728593
3728653
3728713
3728773
3728833
3729032
3729092
3729572
3729812
3730004
3730085
3730145
3730857
3731264
3731473
3732298
3732638
3732698
3732758
3732982
3733042
3733102
3733274
3733366
3733426
3733486
3733548
3733608
3733772
3734066
3735824
3736528
3736620
3736680
3737026
3737327
3737429
3737489
3737549
3737643
3737890
3738922
3739014
3740819
3740976
3742528
3743222
3744073
3744271
3744421
3744481
3744541
3744601
3744661
3745020
3745177
3745428
3745488
3745782
3746451
3746511
3746911
3747419
3747668
3747735
3747795
3747855
3747915
3748023
3748109
3748431
3748578
3748638
3749321
3749539
3749599
3749732
3750391
3750451
3750673
3750922
3750982
3751716
3751776
3751836
3751896
3751956
3752412
3752824
3752884
3754257
3754551
3754800
3754860
3754920
3755534
3755594
3755654
3755714
3755774
3756388
3756774
3756834
3757778
3758114
3758174
3758334
3758526
3758766
3758836
3758896
3758968
3759028
3759120
3759642
3760025
3761032
3761428
3761588
3761653
3762020
3762080
3762189
3762249
3762798
3762918
3762978
3763279
3763468
3763592
3764489
3764629
3764982
3765378
3765443
3765503
3765788
3765970
3766675
3766735
3766795
3766855
3767003
3767063
3767123
3767183
3767243
3767303
3767363
3767614
3767914
3767974
3768034
3768094
3768338
3768788
3768930
3768998
3769424
3769484
3769544
3769931
3770318
3770473
3770533
3770593
3770986
3771498
3771708
3772342
3772683
3772743
3773175
3773378
3774286
3774441
3774501
3775596
3776502
3776602
3777290
3777695
3777887
3778252
3779313
3779546
3779756
3780007
3780089
3781949
3783706
3785501
3786505
3786671
3787588
3788371
3789925
3789985
3790392
3790749
3791555
3793906
3795808
3795868
3796334
3796868
3796934
3797609
3797943
3798849
3801152
3802053
3803235
3803295
3804406
3805242
3805653
3807063
3808356
3808496
3809382
3809442
3809842
3810200
3810999
3812446
3813244
3813304
3815724
3816498
3816558
3818013
3818073
3818139
3818199
3818259
3818636
3818952
3819012
3819812
3820448
3821222
3821474
3821678
3821738
3821942
3822106
3822240
3822436
3822867
3822928
3823634
3824087
3824184
3826722
3827438
3829875
3829935
3831388
3832797
3834467
3834527
3836078
3837721
3837781
3838117
3838756
3839171
3840028
3840175
3841671
3841731
3842532
3844331
3847581
3847641
3848421
3850654
3850714
3850774
3851262
3851322
3851535
3853968
3854028
3854186
3854246
3854516
3854576
3854769
3855178
3855238
3855786
3857500
3858466
3858680
3859669
3859729
3859789
3860166
3860226
3860913
3860973
3861033
3861093
3861450
3861934
3862199
3862259
3862923
3862983
3863420
3863480
3864167
3864227
3864287
3864347
3865874
3865934
3866561
3866873
3866933
3866993
3867053
3867401
3867461
3867521
3868208
3868268
3868328
3871955
3872015
3872075
3872135
3872195
3872779
3873061
3873718
3874405
3874465
3875031
3875091
3875151
3875211
3875271
3875331
3876315
3876479
3876539
3877659
3877719
3878285
3879159
3879219
3879495
3880265
3881609
3881669
3884135
3884864
3885937
3886366
3887389
3887530
3888118
3889068
3889191
3889328
3889620
3890784
3891217
3891339
3893141
3893570
3894734
3897563
3897971
3900080
3900324
3904319
3906865
3907109
3912717
3913619
3913803
3914883
3920845
3923201
3948111
3964579
3964927
3966392
3969319
3971296
3978490
3993558
3995451
3996324
3997499
3998432
4013764
4018646
4022349
4043963
4044840
4046737
4082639
4093752
4094689
4102958
4118287
4119633
4120218
4142061
4348524
4350953
4352858
4353851
4384567
4385241
4388539
4414028
4436713
4447152
4458354
4458494
4459218
4464243
4469593
4472907
4484971
4487609
4487669
4488970
4491484
4503832
4505843
4518819
4557077
4569004
4607493
