time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
240,0,0,0,0,0,0,2,0
524,0,0,0,0,0,0,1,1
1822,0,0,0,0,0,0,2,1
3120,0,0,0,0,0,1,2,1
3385,0,0,0,0,0,1,3,1
4001,0,0,0,0,0,2,3,1
4538,0,0,0,0,0,3,3,1
4978,0,0,0,0,0,3,2,2
5487,0,0,0,0,0,3,3,2
6886,0,0,0,0,0,4,3,2
7126,0,0,0,0,0,5,4,2
7714,0,0,0,0,0,5,3,2
8627,0,0,0,0,0,6,3,2
9137,0,0,0,0,0,7,3,2
10430,0,0,0,0,0,7,4,2
10670,0,0,0,0,0,8,4,2
10910,0,0,0,0,0,8,3,3
11150,0,0,0,0,0,9,3,3
12113,0,0,0,0,0,10,3,3
12353,0,0,0,0,0,11,3,3
12980,0,0,0,0,0,10,3,4
14961,0,0,0,0,0,11,3,4
17047,0,0,0,0,0,11,4,4
17287,0,0,0,0,0,13,4,4
17800,0,0,0,0,0,14,4,4
18392,0,0,0,0,0,14,3,5
20319,0,0,0,0,0,15,3,5
20751,0,0,0,0,0,16,3,5
20991,0,0,0,0,0,17,3,5
21464,0,0,0,0,0,18,3,5
21704,0,0,0,0,0,19,3,5
21944,0,0,0,0,0,20,3,5
22235,0,0,0,0,0,21,3,5
22851,0,0,0,0,0,22,3,5
23091,0,0,0,0,0,23,3,5
23331,0,0,0,0,0,24,3,5
23571,0,0,0,0,0,24,4,5
24102,0,0,0,0,0,25,4,5
24410,0,0,0,0,0,26,4,5
24650,0,0,0,0,0,26,5,5
25457,0,0,0,0,0,26,4,6
26066,0,0,0,0,0,27,4,6
26797,0,0,0,0,0,28,4,6
27722,0,0,0,0,0,28,5,6
27962,0,0,0,0,0,29,5,6
30344,0,0,0,0,0,29,4,7
32316,0,0,0,0,0,30,4,7
34086,0,0,0,0,0,31,4,7
34326,0,0,0,0,0,32,4,7
34566,0,0,0,0,0,33,4,7
35311,0,0,0,0,0,33,3,8
35716,0,0,0,0,0,34,3,8
36834,0,0,0,0,0,35,3,8
39314,0,0,0,0,0,36,3,8
39808,0,0,0,0,0,37,3,8
41402,0,0,0,0,0,38,3,8
42401,0,0,0,0,0,39,3,8
42726,0,0,0,0,0,40,3,8
43524,0,0,0,0,0,41,3,8
45451,0,0,0,0,0,42,3,8
47135,0,0,0,0,0,43,3,8
47769,0,0,0,0,0,44,3,8
48569,0,0,0,0,0,45,3,8
48809,0,0,0,0,0,46,3,8
49049,0,0,0,0,0,46,4,8
50288,0,0,0,0,0,47,4,8
50769,0,0,0,0,0,48,4,8
51009,0,0,0,0,0,49,4,8
51657,0,0,0,0,0,50,4,8
52749,0,0,0,0,0,51,4,8
53759,0,0,0,0,0,52,4,8
