time,in0,out0,in1,out1,in2,out2,in3,out3,in4,out4,in5,out5,in6,out6,in7,out7
0
240
524
1822
3120
3385
4001
4538
4978
5487
6886
7126
7714
8627
9137
10430
10670
10910
11150
12113
12353
12980
14961
17047
17287
17800
18392
20319
20751
20991
21464
21704
21944
22235
22851
23091
23331
23571
24102
24410
24650
25457
26066
26797
27722
27962
30344
32316
34086
34326
34566
35311
35716
36834
39314
39808
41402
42401
42726
43524
45451
47135
47769
48569
48809
49049
50288
50769
51009
51657
52749
53759
54182
54702
55341
56698
57360
57810
58415
58655
59576
63253
63493
64063
64513
64753
65309
65549
68928
70253
70493
70777
71017
72722
72962
73609
73885
76351
77127
77680
77962
78521
78761
81511
81751
82894
84440
86396
87610
89101
89759
90500
91000
91240
91717
92888
93648
93888
94128
94481
95078
95406
95646
95886
96553
97433
98286
98837
99077
99317
100063
100468
101678
101918
103281
104716
106242
106507
108167
109173
109413
110547
110806
111046
111792
112172
112412
112998
113238
113518
113758
114640
115186
115535
116113
116353
116593
117066
117306
117546
118443
119428
119668
120070
120310
121119
121633
122648
122888
123967
124207
125222
126242
126950
127190
128834
129074
130516
131955
132609
132849
133777
134230
135001
135350
136192
136432
136672
136912
139716
141592
141832
142072
143681
144015
146537
147762
148247
148509
148749
149125
150415
150655
151990
154938
155698
155938
157688
160965
162061
162701
163128
163512
163752
164728
165239
165479
165719
166519
166835
167433
170925
343397
448918
549000
559333
559946
560186
561104
561344
561584
566321
566561
566801
574224
574615
607667
608844
612045
619240
620150
620567
626319
631366
637452
638902
663328
668062
668390
669835
670530
682085
899141
900091
900631
900933
986916
989254
989447
990031
992143
993744
1002921
1005530
1006355
1009877
1010376
1018991
1024005
1024643
1035297
1038780
1039614
1040342
1045427
1045829
1046069
1048995
1146658
1217426
1218008
1219582
1220172
1220412
1220652
1225744
1250186
1250349
1254966
1255148
1259842
1360576
1363027
1363958
1364938
1366560
1366701
1366854
1367094
1367166
1367786
1368742
1370141
1605682
1606040
1606897
1609784
1610149
1614424
1617448
1626061
1626794
1627542
1628494
1628772
1633087
1634683
1634872
1635487
1635644
1637259
1637371
1637718
1638593
1638924
1639209
1640068
1671146
1741851
1742083
1742338
1744709
1761145
1775700
1777542
1777782
1778117
1780886
1782274
1783709
1784283
1794646
1795599
1831916
1832156
1834243
1834771
1837669
1837959
1853184
1853778
1858076
1922417
1924365
1925817
1928076
1930782
1931092
1931341
1937143
1937460
1937762
1937965
1940860
1941688
1942759
1943743
1943856
1944372
1945289
1945527
1946107
1977121
1977590
1977624
1980853
2006141
2007379
2009915
2013760
2016283
2024354
2027814
2028593
2035696
2039245
2039852
