time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
45316,0,0,0,0,0,5,28,0
29906,0,0,0,0,0,0,23,0
46204,0,0,0,0,0,5,33,0
46204,0,0,0,0,0,6,28,0
31756,0,0,0,0,0,0,23,0
46513,0,0,0,0,0,6,28,0
46513,0,0,0,0,0,5,34,0
32392,0,0,0,0,0,0,23,0
46753,0,0,0,0,0,5,29,0
46817,0,0,0,0,0,5,34,0
33865,0,0,0,0,0,0,24,0
51489,0,0,0,0,0,5,29,0
49313,0,0,0,0,0,4,35,0
53861,0,0,0,0,0,5,29,0
34585,0,0,0,0,0,0,25,0
49755,0,0,0,0,0,4,35,0
34825,0,0,0,0,0,0,25,0
54338,0,0,0,0,0,4,30,0
51939,0,0,0,0,0,2,37,0
56810,0,0,0,0,0,4,30,0
35065,0,0,0,0,0,0,26,0
52813,0,0,0,0,0,2,37,0
57050,0,0,0,0,0,4,31,0
35774,0,0,0,0,0,0,27,0
53861,0,0,0,0,0,3,37,0
57290,0,0,0,0,0,3,32,0
56810,0,0,0,0,0,3,38,0
36014,0,0,0,0,0,0,28,0
57610,0,0,0,0,0,3,33,0
57050,0,0,0,0,0,3,39,0
58196,0,0,0,0,0,3,33,0
36254,0,0,0,0,0,1,28,0
59527,0,0,0,0,0,3,33,0
57290,0,0,0,0,0,3,39,0
61390,0,0,0,0,0,3,33,0
57610,0,0,0,0,0,3,40,0
65524,0,0,0,0,0,3,33,0
37058,0,0,0,0,0,1,29,0
66346,0,0,0,0,0,3,33,0
58196,0,0,0,0,0,3,40,0
37485,0,0,0,0,0,1,29,0
59328,0,0,0,0,0,3,40,0
66586,0,0,0,0,0,1,35,0
59568,0,0,0,0,0,3,41,0
38085,0,0,0,0,0,1,30,0
69004,0,0,0,0,0,1,35,0
61260,0,0,0,0,0,3,41,0
70669,0,0,0,0,0,1,35,0
38420,0,0,0,0,0,1,30,0
61500,0,0,0,0,0,3,42,0
71211,0,0,0,0,0,1,35,0
61740,0,0,0,0,0,3,42,0
72540,0,0,0,0,0,1,35,0
38660,0,0,0,0,0,1,31,0
63105,0,0,0,0,0,2,43,0
75751,0,0,0,0,0,1,35,0
63760,0,0,0,0,0,2,43,0
38900,0,0,0,0,0,1,32,0
78153,0,0,0,0,0,1,35,0
65524,0,0,0,0,0,2,44,0
78559,0,0,0,0,0,1,36,0
39248,0,0,0,0,0,2,32,0
66346,0,0,0,0,0,2,45,0
79199,0,0,0,0,0,1,36,0
68957,0,0,0,0,0,2,45,0
79615,0,0,0,0,0,1,36,0
39609,0,0,0,0,0,2,32,0
80949,0,0,0,0,0,1,36,0
69197,0,0,0,0,0,2,46,0
81189,0,0,0,0,0,1,36,0
40133,0,0,0,0,0,2,32,0
70669,0,0,0,0,0,2,47,0
81429,0,0,0,0,0,1,36,0
71211,0,0,0,0,0,2,48,0
83813,0,0,0,0,0,1,36,0
71594,0,0,0,0,0,2,48,0
40373,0,0,0,0,0,3,32,0
84616,0,0,0,0,0,1,36,0
72540,0,0,0,0,0,2,49,0
74053,0,0,0,0,0,2,49,0
40678,0,0,0,0,0,1,34,0
84901,0,0,0,0,0,1,37,0
85305,0,0,0,0,0,1,37,0
74477,0,0,0,0,0,2,49,0
86095,0,0,0,0,0,1,37,0
87916,0,0,0,0,0,1,37,0
75751,0,0,0,0,0,2,49,0
89599,0,0,0,0,0,1,37,0
40918,0,0,0,0,0,2,35,0
90304,0,0,0,0,0,2,37,0
78559,0,0,0,0,0,2,50,0
91171,0,0,0,0,0,2,37,0
92236,0,0,0,0,0,2,37,0
79199,0,0,0,0,0,2,50,0
41603,0,0,0,0,0,2,35,0
94496,0,0,0,0,0,2,38,0
79615,0,0,0,0,0,2,50,0
95088,0,0,0,0,0,2,38,0
95600,0,0,0,0,0,2,39,0
80949,0,0,0,0,0,2,50,0
41843,0,0,0,0,0,2,35,0
96350,0,0,0,0,0,2,40,0
81189,0,0,0,0,0,2,50,0
96590,0,0,0,0,0,2,40,0
97359,0,0,0,0,0,2,41,0
81429,0,0,0,0,0,3,50,0
42585,0,0,0,0,0,1,36,0
97599,0,0,0,0,0,2,41,0
81669,0,0,0,0,0,2,51,0
99294,0,0,0,0,0,2,41,0
102250,0,0,0,0,0,2,41,0
43443,0,0,0,0,0,1,37,0
83813,0,0,0,0,0,2,52,0
105422,0,0,0,0,0,2,42,0
105662,0,0,0,0,0,2,42,0
84543,0,0,0,0,0,2,52,0
106771,0,0,0,0,0,2,42,0
107522,0,0,0,0,0,2,42,0
44400,0,0,0,0,0,1,37,0
107802,0,0,0,0,0,3,42,0
84783,0,0,0,0,0,2,52,0
108848,0,0,0,0,0,4,42,0
112752,0,0,0,0,0,3,43,0
85023,0,0,0,0,0,2,53,0
44662,0,0,0,0,0,1,38,0
114881,0,0,0,0,0,3,44,0
116276,0,0,0,0,0,3,44,0
85427,0,0,0,0,0,2,53,0
117089,0,0,0,0,0,3,44,0
45209,0,0,0,0,0,1,38,0
86095,0,0,0,0,0,2,54,0
118252,0,0,0,0,0,4,44,0
86696,0,0,0,0,0,2,54,0
118849,0,0,0,0,0,3,45,0
87916,0,0,0,0,0,2,54,0
119782,0,0,0,0,0,3,45,0
46204,0,0,0,0,0,1,39,0
89599,0,0,0,0,0,3,54,0
121204,0,0,0,0,0,3,45,0
89839,0,0,0,0,0,3,54,0
121601,0,0,0,0,0,3,45,0
90304,0,0,0,0,0,4,54,0
46513,0,0,0,0,0,1,40,0
122682,0,0,0,0,0,3,46,0
90794,0,0,0,0,0,4,54,0
122922,0,0,0,0,0,3,46,0
127252,0,0,0,0,0,3,46,0
91171,0,0,0,0,0,4,55,0
46822,0,0,0,0,0,1,40,0
128545,0,0,0,0,0,3,46,0
91755,0,0,0,0,0,4,55,0
129467,0,0,0,0,0,3,46,0
92236,0,0,0,0,0,4,55,0
47826,0,0,0,0,0,1,40,0
129938,0,0,0,0,0,3,46,0
94496,0,0,0,0,0,4,55,0
131129,0,0,0,0,0,3,46,0
95600,0,0,0,0,0,4,55,0
135853,0,0,0,0,0,3,46,0
48854,0,0,0,0,0,1,40,0
96350,0,0,0,0,0,4,56,0
136093,0,0,0,0,0,3,46,0
96590,0,0,0,0,0,4,56,0
138158,0,0,0,0,0,4,46,0
97359,0,0,0,0,0,4,56,0
49805,0,0,0,0,0,0,41,0
140734,0,0,0,0,0,4,46,0
143993,0,0,0,0,0,4,46,0
97599,0,0,0,0,0,4,56,0
53016,0,0,0,0,0,0,41,0
99294,0,0,0,0,0,4,56,0
145175,0,0,0,0,0,3,47,0
104770,0,0,0,0,0,4,56,0
146017,0,0,0,0,0,3,47,0
105422,0,0,0,0,0,4,57,0
53861,0,0,0,0,0,0,41,0
148501,0,0,0,0,0,3,47,0
105662,0,0,0,0,0,4,57,0
149598,0,0,0,0,0,4,47,0
106771,0,0,0,0,0,4,57,0
56810,0,0,0,0,0,0,42,0
150834,0,0,0,0,0,4,48,0
107522,0,0,0,0,0,4,57,0
107802,0,0,0,0,0,4,57,0
151667,0,0,0,0,0,4,48,0
108848,0,0,0,0,0,5,57,0
57050,0,0,0,0,0,0,43,0
151907,0,0,0,0,0,5,48,0
111392,0,0,0,0,0,4,58,0
153864,0,0,0,0,0,5,48,0
154814,0,0,0,0,0,5,48,0
112745,0,0,0,0,0,3,59,0
57290,0,0,0,0,0,0,43,0
156080,0,0,0,0,0,5,48,0
114881,0,0,0,0,0,3,59,0
156415,0,0,0,0,0,5,48,0
117089,0,0,0,0,0,3,59,0
157469,0,0,0,0,0,5,48,0
57610,0,0,0,0,0,0,44,0
118252,0,0,0,0,0,3,59,0
158464,0,0,0,0,0,5,48,0
121204,0,0,0,0,0,3,59,0
159126,0,0,0,0,0,5,48,0
58201,0,0,0,0,0,0,44,0
121601,0,0,0,0,0,3,59,0
159763,0,0,0,0,0,5,48,0
122682,0,0,0,0,0,3,59,0
160923,0,0,0,0,0,5,48,0
127252,0,0,0,0,0,3,59,0
162388,0,0,0,0,0,5,48,0
59183,0,0,0,0,0,0,44,0
163810,0,0,0,0,0,5,48,0
128545,0,0,0,0,0,3,59,0
164729,0,0,0,0,0,5,48,0
59527,0,0,0,0,0,0,44,0
164969,0,0,0,0,0,5,48,0
129467,0,0,0,0,0,3,59,0
165209,0,0,0,0,0,5,48,0
129938,0,0,0,0,0,3,59,0
165455,0,0,0,0,0,5,48,0
61390,0,0,0,0,0,0,44,0
166773,0,0,0,0,0,5,48,0
131129,0,0,0,0,0,3,59,0
169733,0,0,0,0,0,5,48,0
172135,0,0,0,0,0,5,48,0
135853,0,0,0,0,0,3,59,0
63934,0,0,0,0,0,0,44,0
136093,0,0,0,0,0,3,59,0
174528,0,0,0,0,0,5,48,0
138158,0,0,0,0,0,4,59,0
175755,0,0,0,0,0,4,48,0
65524,0,0,0,0,0,0,45,0
177070,0,0,0,0,0,4,48,0
140734,0,0,0,0,0,4,59,0
177513,0,0,0,0,0,4,49,0
141700,0,0,0,0,0,3,60,0
177913,0,0,0,0,0,4,49,0
66346,0,0,0,0,0,0,45,0
143993,0,0,0,0,0,3,60,0
180278,0,0,0,0,0,4,49,0
146017,0,0,0,0,0,3,61,0
180518,0,0,0,0,0,3,50,0
148501,0,0,0,0,0,3,61,0
181955,0,0,0,0,0,3,50,0
69004,0,0,0,0,0,0,46,0
148908,0,0,0,0,0,3,61,0
182195,0,0,0,0,0,3,51,0
149598,0,0,0,0,0,3,62,0
182435,0,0,0,0,0,3,51,0
69637,0,0,0,0,0,0,46,0
184246,0,0,0,0,0,3,51,0
150834,0,0,0,0,0,3,63,0
184677,0,0,0,0,0,3,51,0
151667,0,0,0,0,0,3,64,0
184917,0,0,0,0,0,3,51,0
151907,0,0,0,0,0,3,64,0
70669,0,0,0,0,0,0,47,0
186321,0,0,0,0,0,3,51,0
186954,0,0,0,0,0,3,51,0
152388,0,0,0,0,0,3,64,0
153866,0,0,0,0,0,3,64,0
187194,0,0,0,0,0,3,52,0
71211,0,0,0,0,0,0,48,0
154814,0,0,0,0,0,3,65,0
187434,0,0,0,0,0,4,52,0
155549,0,0,0,0,0,3,65,0
188448,0,0,0,0,0,4,52,0
155817,0,0,0,0,0,3,65,0
188724,0,0,0,0,0,4,53,0
71604,0,0,0,0,0,0,48,0
189006,0,0,0,0,0,4,53,0
156080,0,0,0,0,0,3,66,0
156415,0,0,0,0,0,3,66,0
189246,0,0,0,0,0,4,53,0
191067,0,0,0,0,0,4,53,0
156655,0,0,0,0,0,3,66,0
72540,0,0,0,0,0,0,48,0
191976,0,0,0,0,0,4,53,0
157469,0,0,0,0,0,3,67,0
158219,0,0,0,0,0,3,67,0
192514,0,0,0,0,0,3,54,0
72991,0,0,0,0,0,0,48,0
192754,0,0,0,0,0,3,54,0
158464,0,0,0,0,0,3,68,0
193522,0,0,0,0,0,3,54,0
158794,0,0,0,0,0,3,68,0
193762,0,0,0,0,0,3,54,0
73899,0,0,0,0,0,0,48,0
159126,0,0,0,0,0,3,69,0
194291,0,0,0,0,0,3,54,0
