time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
240,0,0,0,0,0,0,2,0
524,0,0,0,0,0,0,1,1
1822,0,0,0,0,0,0,2,1
3120,0,0,0,0,0,1,2,1
3385,0,0,0,0,0,2,2,1
4001,0,0,0,0,0,3,2,1
4538,0,0,0,0,0,4,2,1
5487,0,0,0,0,0,5,2,1
6886,0,0,0,0,0,6,2,1
7126,0,0,0,0,0,7,3,1
7366,0,0,0,0,0,7,2,2
8627,0,0,0,0,0,8,2,2
9137,0,0,0,0,0,8,3,2
10430,0,0,0,0,0,9,3,2
10670,0,0,0,0,0,9,4,2
10910,0,0,0,0,0,9,3,3
11150,0,0,0,0,0,9,4,3
11390,0,0,0,0,0,9,3,4
12113,0,0,0,0,0,10,3,4
12353,0,0,0,0,0,11,3,4
14547,0,0,0,0,0,11,2,5
14961,0,0,0,0,0,12,2,5
17047,0,0,0,0,0,12,3,5
17287,0,0,0,0,0,13,4,5
17800,0,0,0,0,0,14,4,5
18338,0,0,0,0,0,14,3,6
19443,0,0,0,0,0,13,3,7
20319,0,0,0,0,0,14,3,7
20751,0,0,0,0,0,15,3,7
20991,0,0,0,0,0,16,3,7
21464,0,0,0,0,0,17,3,7
21704,0,0,0,0,0,18,3,7
21944,0,0,0,0,0,19,3,7
22235,0,0,0,0,0,20,3,7
22526,0,0,0,0,0,20,2,8
22851,0,0,0,0,0,20,3,8
23091,0,0,0,0,0,20,4,8
23331,0,0,0,0,0,21,4,8
23571,0,0,0,0,0,22,4,8
24102,0,0,0,0,0,23,4,8
24410,0,0,0,0,0,24,4,8
24650,0,0,0,0,0,25,3,9
24890,0,0,0,0,0,24,3,10
26066,0,0,0,0,0,24,4,10
26797,0,0,0,0,0,25,4,10
27037,0,0,0,0,0,25,3,11
27722,0,0,0,0,0,25,4,11
27962,0,0,0,0,0,25,5,11
28264,0,0,0,0,0,25,4,12
30646,0,0,0,0,0,25,3,13
32316,0,0,0,0,0,26,3,13
34086,0,0,0,0,0,27,3,13
34326,0,0,0,0,0,28,3,13
34566,0,0,0,0,0,28,4,13
35150,0,0,0,0,0,28,3,14
35716,0,0,0,0,0,28,4,14
36834,0,0,0,0,0,29,4,14
37828,0,0,0,0,0,29,3,15
39314,0,0,0,0,0,30,3,15
39792,0,0,0,0,0,29,3,16
40032,0,0,0,0,0,29,4,16
41402,0,0,0,0,0,30,4,16
42401,0,0,0,0,0,31,4,16
42641,0,0,0,0,0,30,4,17
42881,0,0,0,0,0,31,4,17
43524,0,0,0,0,0,32,4,17
45287,0,0,0,0,0,31,4,18
45527,0,0,0,0,0,32,4,18
47135,0,0,0,0,0,33,4,18
47487,0,0,0,0,0,33,3,19
47769,0,0,0,0,0,33,4,19
