time,idle_node,busy_node,full_node,fra_gpu,busy_gpu,pending_job,running_job,completed_job,len_g1,len_g2,len_g4,len_g8,len_g16,len_g32,len_g64
16566,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16566,0,0,0,0,0,0,0,0
16626,63,1,0,4,4,0,3,0,0,0,1,0,0,0,0
16626,0,0,0,0,0,0,0,0
19724,62,2,0,4,12,0,5,0,0,0,2,0,0,0,0
19724,0,0,0,0,0,0,0,0
19784,61,3,0,12,12,0,9,0,0,0,3,0,0,0,0
19784,0,0,0,0,0,0,0,0
20579,60,4,0,16,16,0,10,0,0,0,4,0,0,0,0
20579,0,0,0,0,0,0,0,0
20639,59,5,0,20,20,0,10,1,0,0,5,0,0,0,0
20639,0,0,0,0,0,0,0,1
22093,59,5,0,16,24,0,14,1,0,0,5,0,0,0,0
22093,0,0,0,0,0,0,0,1
26894,60,4,0,16,16,0,4,12,0,0,4,0,0,0,0
26894,0,0,0,0,0,0,0,5
26954,63,1,0,4,4,0,7,12,0,0,1,0,0,0,0
26954,0,0,0,0,0,0,0,5
39128,63,1,0,4,4,0,5,15,0,0,1,0,0,0,0
39128,0,0,0,0,0,0,0,5
46177,63,1,0,4,4,0,3,18,0,0,1,0,0,0,0
46177,0,0,0,0,0,0,0,5
46667,62,2,0,4,12,0,4,18,0,0,1,1,0,0,0
46667,0,0,0,0,0,0,0,5
48927,61,3,0,8,16,0,5,18,0,0,2,1,0,0,0
48927,0,0,0,0,0,0,0,5
50370,60,4,0,8,24,0,5,19,0,0,2,2,0,0,0
50370,0,0,0,0,0,0,0,5
50853,61,3,0,4,20,0,5,20,0,0,1,2,0,0,0
50853,0,0,0,0,0,0,0,5
64148,60,4,0,8,24,0,5,21,0,0,2,2,0,0,0
64148,0,0,0,0,0,0,0,5
102293,60,4,0,4,28,0,6,22,0,0,1,3,0,0,0
102293,0,0,0,0,0,0,0,5
102353,59,5,0,8,32,0,7,22,0,0,2,3,0,0,0
102353,0,0,0,0,0,0,0,5
102879,59,5,0,8,32,0,9,22,0,0,2,3,0,0,0
102879,0,0,0,0,0,0,0,5
102939,58,6,0,12,36,0,10,22,0,0,3,3,0,0,0
102939,0,0,0,0,0,0,0,5
104807,57,7,0,12,44,0,14,22,0,0,4,3,0,0,0
104807,0,0,0,0,0,0,0,5
115503,58,6,0,12,36,0,8,29,0,0,3,3,0,0,0
115503,0,0,0,0,0,0,0,9
141897,59,5,0,4,36,0,7,31,0,0,1,4,0,0,0
141897,0,0,0,0,0,0,0,9
141957,58,6,0,4,44,0,8,31,0,0,1,5,0,0,0
141957,0,0,0,0,0,0,0,9
161275,58,6,0,4,44,0,8,32,0,0,1,5,0,0,0
161275,0,0,0,0,0,0,0,9
162187,57,7,0,4,52,0,9,32,0,0,1,6,0,0,0
162187,0,0,0,0,0,0,0,9
198264,59,5,0,4,36,0,7,35,0,0,1,4,0,0,0
198264,0,0,0,0,0,0,0,11
198389,58,6,0,4,44,0,8,35,0,0,1,5,0,0,0
198389,0,0,0,0,0,0,0,11
199985,57,7,0,4,52,0,9,35,0,0,1,6,0,0,0
199985,0,0,0,0,0,0,0,11
204818,56,8,0,4,60,0,10,35,0,0,1,7,0,0,0
204818,0,0,0,0,0,0,0,11
204878,55,9,0,4,68,0,11,35,0,0,1,8,0,0,0
204878,0,0,0,0,0,0,0,11
204938,54,10,0,4,76,0,12,35,0,0,1,9,0,0,0
204938,0,0,0,0,0,0,0,11
265981,61,3,0,4,20,0,5,44,0,0,1,2,0,0,0
265981,0,0,0,0,0,0,0,16
275106,61,3,0,4,20,0,5,45,0,0,1,2,0,0,0
275106,0,0,0,0,0,0,0,16
275660,60,4,0,4,28,0,6,45,0,0,1,3,0,0,0
275660,0,0,0,0,0,0,0,16
285848,59,5,0,4,36,0,7,45,0,0,1,4,0,0,0
285848,0,0,0,0,0,0,0,16
285908,58,6,0,8,40,0,10,45,0,0,2,4,0,0,0
285908,0,0,0,0,0,0,0,16
339260,60,4,0,8,24,0,6,50,0,0,2,2,0,0,0
339260,0,0,0,0,0,0,0,17
353854,60,4,0,4,28,0,6,51,0,0,1,3,0,0,0
353854,0,0,0,0,0,0,0,17
372059,61,3,0,4,20,0,5,53,0,0,1,2,0,0,0
372059,0,0,0,0,0,0,0,18
375897,60,4,0,4,28,0,6,53,0,0,1,3,0,0,0
375897,0,0,0,0,0,0,0,18
379865,59,5,0,4,36,0,7,53,0,0,1,4,0,0,0
